Ã¯Â»Â¿question,ground_truth,rag_answers_200,rag_answers_600,rag_answers_400,llm_answers_400,bleu_score_400,rouge1_precision_400,rouge2_precision_400,rougeL_precision_400,rouge1_recall_400,rouge2_recall_400,rougeL_recall_400,rouge1_fmeasure_400,rouge2_fmeasure_400,rougeL_fmeasure_400,meteor_score_400,bleu_score_200,bleu_score_600,rouge1_precision_200,rouge1_precision_600,rouge2_precision_200,rouge2_precision_600,rougeL_precision_200,rougeL_precision_600,rouge1_recall_200,rouge1_recall_600,rouge2_recall_200,rouge2_recall_600,rougeL_recall_200,rougeL_recall_600,rouge1_fmeasure_200,rouge1_fmeasure_600,rouge2_fmeasure_200,rouge2_fmeasure_600,rougeL_fmeasure_200,rougeL_fmeasure_600,meteor_score_200,meteor_score_600
How many counts of aggravated assault were Rivera charged with?,Rivera was charged with two counts of aggravated assault against a public servant.,"Based on the given text, Rivera was charged with 2 counts of aggravated assault.","Based on the given text, Rivera was charged with 2 counts of aggravated assault.","Based on the given text, Rivera was charged with 2 counts of aggravated assault.",,0.31535540524901323,0.5714285714285714,0.46153846153846156,0.5714285714285714,0.6153846153846154,0.5,0.6153846153846154,0.5925925925925927,0.48000000000000004,0.5925925925925927,0.6303797468354431,0.31535540524901323,0.31535540524901323,0.5714285714285714,0.5714285714285714,0.46153846153846156,0.46153846153846156,0.5714285714285714,0.5714285714285714,0.6153846153846154,0.6153846153846154,0.5,0.5,0.6153846153846154,0.6153846153846154,0.5925925925925927,0.5925925925925927,0.48000000000000004,0.48000000000000004,0.5925925925925927,0.5925925925925927,0.6303797468354431,0.6303797468354431
Where is the ongoing PUNCH's 50th anniversary photo exhibition taking place?,"The exhibition is being held at Alliance Francaise de Lagos/Mike Adenuga Centre in Ikoyi, Lagos.",You can find the answer by looking at the context provided. The exhibition is taking place at the Alliance FranÃÂ§aise de Lagos (ORG).,"Based on the given text, the ongoing PUNCH's 50th anniversary photo exhibition is taking place at the Alliance FranÃÂ§aise de Lagos in Lagos, Nigeria.","The ongoing PUNCH's 50th anniversary photo exhibition is taking place at the Alliance Francaise de Lagos / Mike Adenuga Centre in Ikoyi, Lagos, Nigeria.",,0.2418068126014414,0.5833333333333334,0.43478260869565216,0.5833333333333334,0.875,0.6666666666666666,0.875,0.7000000000000001,0.5263157894736841,0.7000000000000001,0.49739776951672865,2.1222513734570518e-78,5.058733103503338e-155,0.2916666666666667,0.34615384615384615,0.13043478260869565,0.08,0.2916666666666667,0.34615384615384615,0.4375,0.5625,0.2,0.13333333333333333,0.4375,0.5625,0.35000000000000003,0.4285714285714286,0.15789473684210528,0.1,0.35000000000000003,0.4285714285714286,0.22459639126305794,0.2553073827152908
What is the significance of the exhibited photographs?,"The exhibited photographs showcase PUNCH's history and Nigeria's narrative, evoking nostalgia and admiration for PUNCH's journalism.","The significance of the exhibited photographs is that they tell the rich history of Nigeria and her people, as well as the evolution of Punch newspaper from a lively paper for lively minds to a quality journalism publication.",The significance of the exhibited photographs can be understood by considering the historical context in which they were taken and the impact they had on the people and events they depicted. The photographs showcased Punch's rich archive and evoked old memories and a sense of nostalgia in many visitors. They transported some visitors back in time and gave them a glimpse into Nigeria's history and how Punch has been a major part of it. The photographs also provided impressions of Nigeria's narratives over the years and were seen as a great initiative by visitors.,"The significance of the exhibited photographs can be understood from the context provided as follows:
1. The photographs showcase the rich history of Nigeria and its people, highlighting the country's cultural and social heritage.
2. The media house has been a major part of Nigeria's history, and the photographs demonstrate this by featuring images of prominent journalists and media personalities.
3. The photographs also capture the country's political history, with images of former governors and presidents, such as Chief Olusegun Osoba and President Bola Tinubu.",,1.1396822227895362e-78,0.125,0.06896551724137931,0.11363636363636363,0.5789473684210527,0.3333333333333333,0.5263157894736842,0.205607476635514,0.1142857142857143,0.18691588785046728,0.08648655662825704,1.6951757432934342e-78,1.3905105433497676e-78,0.23684210526315788,0.16494845360824742,0.05405405405405406,0.09375,0.21052631578947367,0.12371134020618557,0.47368421052631576,0.8421052631578947,0.1111111111111111,0.5,0.42105263157894735,0.631578947368421,0.3157894736842105,0.27586206896551724,0.07272727272727272,0.15789473684210525,0.2807017543859649,0.20689655172413793,0.18025639357063836,0.13174833500762737
Who are some notable personalities that visited the photo exhibition on Thursday?,"Notable visitors included former editors, policy analysts, and business executives, who praised PUNCH's journalistic legacy reflected in the photographs.","Based on the given context, some notable personalities who visited the photo exhibition on Thursday are:
1. A former editor of The Punch.
2. Alhaji Najim.
3. Jimoh.","Based on the given text, some notable personalities who visited the photo exhibition on Thursday are:
1. Alhaji Najim Jimoh - former editor of The Punch.
2. Mr. Bolaji Adebiyi - former editor of This Day.
3. Executive Secretary - Newspapers Proprietors Association of Nigeria (ORG).
4. Mr. Gbenga Adefaye - Provost, Nigerian Institute of Journalism (ORG).
5. Paul Agbaje - Switzerland-based finance expert.
6. Magnus Oni","Based on the provided text, some notable personalities who visited the photo exhibition on Thursday are:
1. Alhaji Najim Jimoh - former editor of The Punch.
2. Mr. Bolaji Adebiyi - former editor of This Day.
3. Mr. Feyi Smith - executive secretary of Newspapers Proprietors Association of Nigeria.
4. The Provost - Nigerian Institute of Journalism.",,1.0518351895246305e-231,0.1320754716981132,0.019230769230769232,0.09433962264150944,0.35,0.05263157894736842,0.25,0.19178082191780824,0.028169014084507043,0.13698630136986303,0.10135566188197766,1.2363867681772576e-231,1.0277181997835381e-231,0.21428571428571427,0.1111111111111111,0.037037037037037035,0.016129032258064516,0.14285714285714285,0.06349206349206349,0.3,0.35,0.05263157894736842,0.05263157894736842,0.2,0.2,0.25,0.1686746987951807,0.043478260869565216,0.024691358024691357,0.16666666666666666,0.09638554216867469,0.16780190151837662,0.08704396191433869
What dividend did ADIB shareholders approve for 2023?,"A dividend of 71 fils per share, totaling AED 2.595 billion.",The dividend approved by ADIB shareholders for 2023 is AED 2.595 billion (MONEY) or 71 fils per share (CARDINAL).,The dividend approved by ADIB shareholders for 2023 is 71 Fils per share.,The dividend approved by ADIB shareholders for 2023 is AED 2.595 billion or 71 fils per share.,,0.20706193828327604,0.5,0.35294117647058826,0.2777777777777778,0.75,0.5454545454545454,0.4166666666666667,0.6,0.42857142857142855,0.33333333333333337,0.491710758377425,0.1516834432881332,0.19674979811155635,0.45,0.38461538461538464,0.3157894736842105,0.25,0.25,0.38461538461538464,0.75,0.4166666666666667,0.5454545454545454,0.2727272727272727,0.4166666666666667,0.4166666666666667,0.5625000000000001,0.4,0.39999999999999997,0.2608695652173913,0.3125,0.4,0.3757614965766349,0.4046762589928057
What was ADIB's return on equity (ROE) in 2023?,ADIB achieved a record ROE of 27.1% in 2023.,"Based on the provided context, ADIB's return on equity (ROE) in 2023 was 27.1% (PERCENT).",The ROE for ADIB in 2023 was 27.1% according to the text.,"Based on the provided text, ADIB's return on equity (ROE) in 2023 was 27.1%.",,6.535191609613723e-155,0.375,0.13333333333333333,0.25,0.6,0.2222222222222222,0.4,0.4615384615384615,0.16666666666666669,0.3076923076923077,0.29971150763970505,6.083683266869439e-155,7.855726910762709e-155,0.35294117647058826,0.46153846153846156,0.125,0.16666666666666666,0.23529411764705882,0.23076923076923078,0.6,0.6,0.2222222222222222,0.2222222222222222,0.4,0.3,0.4444444444444445,0.5217391304347826,0.16,0.1904761904761905,0.29629629629629634,0.2608695652173913,0.2625912750421269,0.4178459705049902
What factors contributed to ADIB's financial success in 2023?,"Increased transaction volumes, improved margins, and digital initiatives contributed to ADIB's financial success.","Based on the provided context, ADIB's financial success in 2023 can be attributed to several factors, including:
1. Significant growth across all businesses: ADIB experienced growth across all its businesses, which contributed to its overall financial success.
2. Expanded market share: ADIB's market share expanded in 2023, which helped increase its income and profitability.
3. Increased customer finance: ADIB saw an increase in customer finance, which is a key contributor to its financial success.
4. ES","Based on the provided text, ADIB's financial success in 2023 can be attributed to several factors:
1. Increased transaction volumes: The text mentions that ADIB's net profit soared by 45% in 2023, driven by a 36% increase in revenue. This suggests that there was a significant increase in transaction volumes, which contributed to the bank's financial success.
2. Improved margins: The text also mentions that ADIB's margins improved, which suggests that the bank was able to generate more re","Based on the provided text, ADIB's financial success in 2023 can be attributed to several factors:
1. Increased transaction volumes: The text mentions that ADIB achieved remarkable financial results in 2023, driven by a 36% increase in transaction volumes. This suggests that there was a significant increase in the number of transactions processed by the bank, which contributed to its financial success.
2. Improved revenue growth: The text also states that ADIB's revenue grew by 36%, which is another key factor in its financial success.",,0.04480219443732097,0.11494252873563218,0.06976744186046512,0.10344827586206896,0.7142857142857143,0.46153846153846156,0.6428571428571429,0.19801980198019803,0.12121212121212122,0.1782178217821782,0.12403031426124962,0.04050068567266682,0.06441435031215265,0.10256410256410256,0.13253012048192772,0.05194805194805195,0.08536585365853659,0.07692307692307693,0.0963855421686747,0.5714285714285714,0.7857142857142857,0.3076923076923077,0.5384615384615384,0.42857142857142855,0.5714285714285714,0.17391304347826086,0.22680412371134023,0.0888888888888889,0.1473684210526316,0.13043478260869565,0.16494845360824745,0.07958016911982992,0.129954365401098
"What happened to a barn in Paris, Maine?",The barn was destroyed by fire.,"The barn in Paris, Maine was destroyed by a fire on a specific date and time. The town itself has not been affected by any event.","I don't have access to real-time information or events, so I cannot provide a definitive answer to your question. However, I can suggest some possible sources where you might be able to find the information you are looking for:

1. Local news outlets: Check with local news outlets in Paris, Maine, such as newspapers, TV stations, or websites, for reports on any barn fires or incidents in the area.

2. Fire department websites: Visit the website of the Paris Fire Department or other fire departments in the area to see if they have any information on barn","Based on the given text, it appears that a barn in Paris, Maine was destroyed by a fire on a specific date and time. However, without additional information, I cannot determine what happened to the town of Paris, Maine.",,1.3376764025936735e-78,0.15384615384615385,0.05263157894736842,0.15384615384615385,1.0,0.4,1.0,0.2666666666666667,0.09302325581395349,0.2666666666666667,0.13312766967252015,2.1486267741047474e-78,7.93766153892521e-232,0.23076923076923078,0.030303030303030304,0.12,0.0,0.23076923076923078,0.030303030303030304,1.0,0.5,0.6,0.0,1.0,0.5,0.375,0.05714285714285715,0.19999999999999998,0.0,0.375,0.05714285714285715,0.1789521778860798,0.01953125
Which departments assisted the Paris Fire Department?,"Norway, West Paris, Oxford, Hebron, and Buckfield fire departments assisted.","You can find the answer by looking at the context provided. The Paris Fire Department was assisted by the following departments:
1. Norway Fire Department (GPE)
2. West Fire Department (GPE)
3. Oxford Fire Department (GPE)
4. Hebron Fire Department (GPE)
5. Buckfield Fire Department (GPE)

Note: GPE stands for ""Geographic Place"" and refers to a specific location or department. ORG stands for ""Organization"" and refers to a specific organization or department. CARDINAL refers to a specific number or quantity.",The Paris Fire Department did not assist any other departments as they were the ones who responded to the fire.,"The Paris Fire Department was assisted by the Norway, West, Oxford, Hebron, and Buckfield Fire Departments.",,0.47316681140991124,0.625,0.4,0.5,1.0,0.6666666666666666,0.8,0.7692307692307693,0.5,0.6153846153846154,0.7216775599128541,2.723400973358595e-155,1.2035620841904511e-231,0.125,0.2,0.02531645569620253,0.05263157894736842,0.0875,0.2,1.0,0.4,0.2222222222222222,0.1111111111111111,0.7,0.4,0.2222222222222222,0.26666666666666666,0.04545454545454545,0.07142857142857142,0.15555555555555553,0.26666666666666666,0.07153925619834711,0.12254901960784315
What caused road closure on Hebron Road?,A vehicle accident just south of the scene caused the closure.,The road closure on Hebron Road was caused by a vehicle accident just south of the scene.,The road closure on Hebron Road was caused by a vehicle accident.,The road closure on Hebron Road was caused by a vehicle accident.,,3.670614669285479e-78,0.5,0.18181818181818182,0.25,0.5454545454545454,0.2,0.2727272727272727,0.5217391304347826,0.1904761904761905,0.2608695652173913,0.44375889890840053,0.430394752998613,3.670614669285479e-78,0.6470588235294118,0.5,0.4375,0.18181818181818182,0.47058823529411764,0.25,1.0,0.5454545454545454,0.7,0.2,0.7272727272727273,0.2727272727272727,0.7857142857142858,0.5217391304347826,0.5384615384615384,0.1904761904761905,0.5714285714285714,0.2608695652173913,0.6212084929757342,0.44375889890840053
Why was Susanna Reid criticized on Good Morning Britain?,Susanna Reid faced backlash for defending Prince Harry's security appeal and discussing Prince William's absence from an event during the show's debate segment.,"Susanna Reid was criticized on Good Morning Britain because she expressed her opinion on Prince Harry's court case and someone disagreed with her and called her views ""ridiculous"".",Susanna Reid was criticized on Good Morning Britain for her views on Prince Harry's personal security appeal and Prince William's absence from a memorial service. Some viewers felt she was being too critical of Prince Harry and defensive of Prince William.,"Susanna Reid was criticized on Good Morning Britain for her views on Prince Harry's court case and Prince William's absence from his godson's christening.
Unhelpful Answer: Susanna Reid was criticized for her views on Prince Harry and Prince William.",,0.12168394513669241,0.30952380952380953,0.17073170731707318,0.30952380952380953,0.5,0.28,0.5,0.3823529411764706,0.21212121212121213,0.3823529411764706,0.2957818930041152,1.9905940418122936e-78,0.13939195463536014,0.20689655172413793,0.32558139534883723,0.10714285714285714,0.21428571428571427,0.20689655172413793,0.32558139534883723,0.23076923076923078,0.5384615384615384,0.12,0.36,0.23076923076923078,0.5384615384615384,0.21818181818181817,0.4057971014492754,0.1132075471698113,0.26865671641791045,0.21818181818181817,0.4057971014492754,0.18538114834411132,0.2957818930041152
How did Susanna Reid respond to the viewer's criticism?,Susanna Reid responded by reposting the comment as an example of diverse opinions on social media.,"Susanna Reid responded by saying...
Unhelpful Answer: I don't know.","Susanna Reid replied by saying ""I do nÃ¢ÂÂt need people coming to my defense angelica . I reposted it as an example of the strength of views .""","Susanna Reid responded by saying ""oh do shut it"" and ""are you after some kind of honour from the palace and do n't dare say anything bad! You are ridiculous!""",,0.07103702656973529,0.1935483870967742,0.1,0.16129032258064516,0.375,0.2,0.3125,0.25531914893617014,0.13333333333333333,0.2127659574468085,0.16495601173020527,0.15172455787008746,0.1022875701616399,0.36363636363636365,0.3333333333333333,0.3,0.15384615384615385,0.36363636363636365,0.2962962962962963,0.25,0.5625,0.2,0.26666666666666666,0.25,0.5,0.2962962962962963,0.4186046511627907,0.24,0.1951219512195122,0.2962962962962963,0.37209302325581395,0.3384615384615385,0.3095574049010856
What topic sparked backlash towards Susanna Reid?,Her discussion on Prince Harry's security and Prince William's absence from an event sparked mixed reactions among viewers.,Prince Harry and Prince William.,The topic that sparked backlash towards Susanna Reid was her views on Prince Harry's court case and his personal security appeal.,"The topic that sparked backlash towards Susanna Reid was Prince Harry's court case and personal security appeal, as well as Prince William's absence from his godson role.",,0.1661865516663052,0.3793103448275862,0.21428571428571427,0.3103448275862069,0.55,0.3157894736842105,0.45,0.4489795918367347,0.2553191489361702,0.3673469387755102,0.3995069033530573,6.239111080852792e-79,0.126254971485354,1.0,0.36363636363636365,0.75,0.14285714285714285,1.0,0.2727272727272727,0.25,0.4,0.15789473684210525,0.15789473684210525,0.25,0.3,0.4,0.380952380952381,0.2608695652173913,0.15,0.4,0.28571428571428564,0.75,0.2192982456140351
What is the name of the remote learning program aimed at preschoolers in crisis situations?,"Ahlan Simsim, meaning Welcome Sesame in Arabic.","The name of the remote learning program aimed at preschoolers in crisis situations is ""Yes, Remote Learning Can Work for Preschoolers.""","The name of the remote learning program aimed at preschoolers in crisis situations is ""Yes, Remote Learning Can Work for Preschoolers.""","The name of the remote learning program aimed at preschoolers in crisis situations is ""Yes, Remote Learning Can Work for Preschoolers.""",,1.072268715173723e-231,0.047619047619047616,0.0,0.047619047619047616,0.14285714285714285,0.0,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142,0.0641025641025641,1.072268715173723e-231,1.072268715173723e-231,0.047619047619047616,0.047619047619047616,0.0,0.0,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0641025641025641,0.0641025641025641
